asset_id,purchase_date,device_type,department,region,brand,model_year,age_in_months,battery_cycles,battery_health_percent,smart_sectors_reallocated,thermal_events_count,daily_usage_hours,usage_type,os,overheating_issues,performance_rating,total_incidents,critical_incidents,high_incidents,medium_incidents,low_incidents,avg_resolution_time_hours,incident_rate_per_month,critical_incident_ratio,battery_degradation_rate,thermal_events_per_month,risk_score,risk_label,data_completeness,created_at,purchase_year,age_in_months_recalc
LAP-0001,2019-11-29 00:00:00.000000000,laptop,Engineering,US,HP,2018,75,420,35.0,73,39,6.0,Office,Windows,False,3,16,2,5,4,5,6.58,2.133,0.125,0.8667,0.52,0.775,high,1.0,2019-12-22 00:00:00.000000000,2023,35
LAP-0002,2021-04-29 11:31:12.000000000,laptop,Engineering,India,Dell,2020,58,610,78.0,91,24,8.0,Programming,Windows,True,3,6,0,1,2,3,8.56,1.034,0.0,0.3793,0.4138,0.514,medium,1.0,2021-05-13 11:31:12.000000000,2022,47
LAP-0003,2023-07-30 08:38:24.000000000,laptop,Finance,India,Apple,2023,31,310,92.0,56,2,7.0,Creative,macOS,False,5,1,0,0,0,1,2.61,0.323,0.0,0.2581,0.0645,0.215,low,1.0,2023-08-22 08:38:24.000000000,2024,24
LAP-0004,2025-07-29 22:04:48.000000000,laptop,Engineering,EU,Lenovo,2024,7,700,70.0,100,48,5.0,Student,Windows,True,3,5,0,1,2,2,11.3,5.0,0.0,4.2857,6.8571,0.532,medium,1.0,2025-08-03 22:04:48.000000000,2021,59
LAP-0005,2023-07-30 08:38:24.000000000,laptop,IT,US,Asus,2022,31,820,65.0,100,33,9.0,Gaming,Windows,True,2,8,0,1,3,4,5.5,2.581,0.0,1.129,1.0645,0.564,high,0.66,2023-08-03 08:38:24.000000000,2022,39
LAP-0006,2019-12-29 10:33:36.000000009,laptop,Finance,India,Acer,2019,74,540,34.0,93,49,6.0,Office,Windows,False,2,19,4,5,4,6,7.48,2.568,0.2105,0.8919,0.6622,0.887,high,1.0,2020-01-12 10:33:36.000000009,2022,49
LAP-0007,2019-10-29 13:26:23.999999992,laptop,Engineering,US,Apple,2019,76,210,18.0,92,45,8.0,Programming,macOS,False,2,18,3,5,4,6,0.0,2.368,0.1667,1.0789,0.5921,0.899,high,1.0,2019-11-08 13:26:23.999999992,2024,18
LAP-0008,2019-05-30 08:38:23.999999975,laptop,HR,EU,HP,2018,81,880,25.0,90,45,4.0,Student,Windows,True,1,19,4,6,3,6,7.34,2.346,0.2105,0.9259,0.5556,0.888,high,1.0,2019-06-16 08:38:23.999999975,2020,71
LAP-0009,2023-08-29 19:12:00.000000000,laptop,Finance,India,Dell,2023,30,350,88.0,67,7,6.0,Office,Windows,False,4,5,0,0,2,3,8.32,1.667,0.0,0.4,0.2333,0.304,low,1.0,2023-09-08 19:12:00.000000000,2023,30
LAP-0010,2025-07-29 22:04:48.000000000,laptop,Sales,EU,Lenovo,2025,7,480,83.0,78,6,7.0,Programming,Windows,False,4,3,0,0,1,2,7.66,3.0,0.0,2.4286,0.8571,0.267,low,1.0,2025-08-24 22:04:48.000000000,2023,35
LAP-0011,2023-09-29 05:45:36.000000000,laptop,Engineering,India,Asus,2023,29,900,58.0,100,37,10.0,Gaming,Windows,True,2,11,0,2,4,5,11.67,3.793,0.0,1.4483,1.2759,0.623,high,0.9,2023-10-06 05:45:36.000000000,2021,53
LAP-0012,2020-08-28 23:02:23.999999983,laptop,HR,India,Acer,2020,66,620,37.0,86,41,5.0,Office,Windows,False,2,13,2,3,3,5,8.21,1.97,0.1538,0.9545,0.6212,0.761,high,1.0,2020-09-13 23:02:23.999999983,2021,59
LAP-0013,2019-05-30 08:38:23.999999975,laptop,IT,US,Apple,2019,81,400,31.0,92,49,6.0,Creative,macOS,False,1,17,3,4,4,6,2.92,2.099,0.1765,0.8519,0.6049,0.872,high,1.0,2019-05-31 08:38:23.999999975,2022,41
LAP-0014,2021-04-29 11:31:12.000000000,laptop,Sales,EU,HP,2021,58,300,91.0,43,8,5.0,Student,Windows,False,5,2,0,0,0,2,7.27,0.345,0.0,0.1552,0.1379,0.281,low,1.0,2021-05-16 11:31:12.000000000,2024,24
LAP-0015,2024-01-29 00:00:00.000000000,laptop,Engineering,India,Dell,2024,25,850,62.0,100,46,6.0,Office,Windows,True,2,8,0,1,3,4,11.13,3.2,0.0,1.52,1.84,0.611,high,1.0,2024-02-19 00:00:00.000000000,2020,71
LAP-0016,2025-07-29 22:04:48.000000000,laptop,Engineering,US,Lenovo,2025,7,220,94.0,36,8,8.0,Programming,Windows,False,5,1,0,0,0,1,7.57,1.0,0.0,0.8571,1.1429,0.144,low,1.0,2025-08-27 22:04:48.000000000,2024,18
LAP-0017,2023-04-30 00:57:36.000000000,laptop,HR,US,Asus,2022,34,450,85.0,78,6,6.0,Office,Windows,False,4,5,0,0,2,3,4.22,1.471,0.0,0.4412,0.1765,0.338,low,1.0,2023-05-09 00:57:36.000000000,2023,35
LAP-0018,2020-07-29 12:28:48.000000000,laptop,Sales,India,Acer,2020,67,560,21.0,93,45,4.0,Student,Windows,False,1,19,3,5,5,6,3.24,2.836,0.1579,1.1791,0.6716,0.893,high,1.0,2020-08-04 12:28:48.000000000,2022,47
LAP-0019,2025-08-29 08:38:24.000000000,laptop,Engineering,India,Apple,2025,6,680,82.0,100,7,7.0,Creative,macOS,False,4,3,0,0,1,2,5.94,3.0,0.0,3.0,1.1667,0.316,low,1.0,2025-09-17 08:38:24.000000000,2021,59
LAP-0020,2022-10-29 09:35:59.999999992,laptop,Finance,India,HP,2022,40,310,89.0,56,1,6.0,Office,Windows,False,4,4,0,0,1,3,7.72,1.0,0.0,0.275,0.025,0.267,low,1.0,2022-11-11 09:35:59.999999992,2024,24
LAP-0021,2023-10-29 16:19:12.000000000,laptop,Engineering,US,Dell,2022,28,490,81.0,70,5,8.0,Programming,Windows,False,4,3,0,0,1,2,3.96,1.071,0.0,0.6786,0.1786,0.296,low,1.0,2023-11-01 16:19:12.000000000,2023,35
LAP-0022,2024-06-29 04:47:59.999999992,laptop,Engineering,EU,Lenovo,2024,20,600,76.0,94,7,5.0,Student,Windows,False,3,5,0,0,2,3,3.21,2.5,0.0,1.2,0.35,0.368,medium,0.75,2024-07-06 04:47:59.999999992,2022,47
LAP-0023,2024-01-29 00:00:00.000000000,laptop,Engineering,US,Asus,2024,25,520,74.0,67,23,9.0,Gaming,Windows,True,3,5,0,1,2,2,8.1,2.0,0.0,1.04,0.92,0.393,medium,0.79,2024-02-20 00:00:00.000000000,2023,30
LAP-0024,2023-08-29 19:12:00.000000000,laptop,IT,US,Acer,2022,30,900,59.0,100,45,6.0,Office,Windows,True,2,9,0,1,3,5,6.41,3.0,0.0,1.3667,1.5,0.635,high,0.71,2023-09-07 19:12:00.000000000,2020,71
LAP-0025,2022-12-29 06:43:12.000000000,laptop,HR,India,Apple,2021,38,180,97.0,34,9,7.0,Programming,macOS,False,5,2,0,0,0,2,5.05,0.526,0.0,0.0789,0.2368,0.211,low,1.0,2023-01-20 06:43:12.000000000,2025,12
LAP-0026,2019-12-29 10:33:36.000000009,laptop,Engineering,India,HP,2019,74,570,25.0,94,46,6.0,Office,Windows,False,2,19,3,5,5,6,5.72,2.568,0.1579,1.0135,0.6216,0.9,high,1.0,2020-01-03 10:33:36.000000009,2022,47
LAP-0027,2021-02-27 14:23:59.999999992,laptop,IT,US,Dell,2020,60,730,48.0,69,33,5.0,Student,Windows,True,3,17,3,5,3,6,8.39,2.833,0.1765,0.8667,0.55,0.695,high,1.0,2021-03-09 14:23:59.999999992,2021,59
LAP-0028,2022-04-29 18:14:24.000000000,laptop,Sales,US,Lenovo,2022,46,460,84.0,67,1,8.0,Programming,Windows,False,4,5,0,0,2,3,5.22,1.087,0.0,0.3478,0.0217,0.324,low,1.0,2022-05-22 18:14:24.000000000,2023,35
LAP-0029,2022-02-27 21:07:11.999999992,laptop,IT,EU,Asus,2022,48,950,55.0,100,14,10.0,Gaming,Windows,True,1,17,0,3,6,8,8.16,3.542,0.0,0.9375,0.2917,0.639,high,1.0,2022-03-16 21:07:11.999999992,2020,71
LAP-0030,2023-05-30 11:31:11.999999992,laptop,Sales,US,Acer,2023,33,320,90.0,52,8,6.0,Office,Windows,False,4,2,0,0,0,2,2.64,0.606,0.0,0.303,0.2424,0.25,low,1.0,2023-06-11 11:31:11.999999992,2024,24
LAP-0031,2020-01-28 21:07:12.000000009,laptop,Engineering,India,Apple,2020,73,500,27.0,89,47,7.0,Creative,macOS,False,1,19,4,6,4,5,5.69,2.603,0.2105,1.0,0.6438,0.888,high,1.0,2020-02-20 21:07:12.000000009,2022,47
LAP-0032,2025-04-29 14:24:00.000000000,laptop,Engineering,US,HP,2024,10,430,86.0,68,4,5.0,Student,Windows,False,4,2,0,0,0,2,2.97,2.0,0.0,1.4,0.4,0.228,low,0.32,2025-05-15 14:24:00.000000000,2023,35
LAP-0033,2019-06-29 19:11:59.999999975,laptop,Sales,US,Dell,2019,80,210,26.0,88,47,6.0,Office,Windows,False,1,17,3,4,4,6,0.0,2.125,0.1765,0.925,0.5875,0.869,high,1.0,2019-07-02 19:11:59.999999975,2024,18
LAP-0034,2021-08-29 05:45:36.000000000,laptop,Sales,India,Lenovo,2021,54,680,72.0,100,18,7.0,Programming,Windows,True,3,7,0,1,2,4,9.03,1.296,0.0,0.5185,0.3333,0.524,medium,1.0,2021-09-28 05:45:36.000000000,2021,59
LAP-0035,2023-09-29 05:45:36.000000000,laptop,Engineering,India,Asus,2022,29,780,66.0,100,16,9.0,Gaming,Windows,True,2,12,0,2,4,6,7.7,4.138,0.0,1.1724,0.5517,0.529,medium,1.0,2023-10-24 05:45:36.000000000,2022,47
